"#","Reference","Value","Datasheet","Qty","DNP","Footprint"
"1","Z1,Z2,Z3,Z4","DZ2J270M0L","https://datasheet.datasheetarchive.com/originals/dk/DKDS-25/488133.pdf","4","","DZ2J270M0L"
"2","U1","XC7A100T-CSG324","","1","","TeamCLibrary:BGA324C80P18X18_1500X1500X150"
"3","R45,R46,R47,R48","100","RC0805JR-072K2L","4","","TeamCLibrary:RC0805N_YAG-M"
"4","R13,R14,R16,R19","200","RC0805JR-072K2L","4","","TeamCLibrary:RC0805N_YAG-M"
"5","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R15,R17,R18,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44","RC0805JR-072K2L","RC0805JR-072K2L","40","","TeamCLibrary:RC0805N_YAG-M"
"6","Q1,Q2,Q3,Q4","TIP32C","TIP32C","4","","TeamCLibrary:TO-220_STM"
"7","JA1,JB1,JC1,JD1","~","Pmod 2x6","4","","TeamCLibrary:PMOD"
"8","J1","2078430006","2078430006","1","","TeamCLibrary:jtag"
"9","C85,C86,C87,C88,C89,C90,C91,C92","470uF","https://eu.mouser.com/datasheet/2/218/Comm_Chip_X7R_16V_10kVdc-1359205.pdf","8","","TeamCLibrary:capacitor"
"10","C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84","10nF","https://eu.mouser.com/datasheet/2/218/Comm_Chip_X7R_16V_10kVdc-1359205.pdf","12","","TeamCLibrary:capacitor"
"11","C28,C67","4.7uF","https://eu.mouser.com/datasheet/2/218/Comm_Chip_X7R_16V_10kVdc-1359205.pdf","2","","TeamCLibrary:capacitor"
"12","C18,C25,C49,C64,C72","100 uF","https://eu.mouser.com/datasheet/2/218/Comm_Chip_X7R_16V_10kVdc-1359205.pdf","5","","TeamCLibrary:capacitor"
"13","C8,C10,C12,C20,C21,C22,C27,C35,C36,C37,C44,C45,C46,C53,C54,C57,C61,C66,C68,C69,C101,C102","100uF","https://eu.mouser.com/datasheet/2/218/Comm_Chip_X7R_16V_10kVdc-1359205.pdf","22","","TeamCLibrary:capacitor"
"14","C2,C3,C4,C5,C6,C7,C9,C11,C13,C15,C17,C19,C26,C29,C30,C31,C32,C33,C34,C38,C39,C40,C41,C42,C43,C50,C51,C52,C55,C56,C58,C60,C65","10uF","https://eu.mouser.com/datasheet/2/218/Comm_Chip_X7R_16V_10kVdc-1359205.pdf","33","","TeamCLibrary:capacitor"
"15","C1,C14,C16,C23,C24,C47,C48,C59,C62,C63,C70,C71,C93,C94,C95,C96,C97,C98,C99,C100,C103,C104","4.7 uF","https://eu.mouser.com/datasheet/2/218/Comm_Chip_X7R_16V_10kVdc-1359205.pdf","22","","TeamCLibrary:capacitor"
"16","7SEG1","7 seg","https://www.lucklight.com/UploadFiles/pdf_2013112113850180091.pdf","1","","TeamCLibrary:DIPS762W45P254L3210H605Q12N"
